

     JSBSim Flight Dynamics Model v1.2.1 [GitHub build 1348/commit 9b95d1b5ccff59916c79a0e3eb8f548377910598] Mar  2 2025 15:20:26
            [JSBSim-ML v2.0]

JSBSim startup beginning ...

Using cpu device
---------------------------------
| rollout/           |          |
|    time_elapsed         | 852           |
|    total_timesteps      | 96256         |
| train/                  |               |
|    approx_kl            | 1.1057709e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | -0.00392      |
|    learning_rate        | 3e-06         |
|    loss                 | 19.4          |
|    n_updates            | 460           |
|    policy_gradient_loss | -2.89e-05     |
|    value_loss           | 163           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 99.1         |
|    ep_rew_mean          | -18.3        |
| time/                   |              |
|    fps                  | 112          |
|    iterations           | 48           |
|    time_elapsed         | 870          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 8.968578e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.00788      |
|    learning_rate        | 3e-06        |
|    loss                 | 19.8         |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.00015     |
|    value_loss           | 39           |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 101           |
|    ep_rew_mean          | -15.9         |
| time/                   |               |
|    fps                  | 112           |
|    iterations           | 49            |
|    time_elapsed         | 889           |
|    total_timesteps      | 100352        |
| train/                  |               |
|    approx_kl            | 1.2057717e-07 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0.0062        |
|    learning_rate        | 3e-06         |
|    loss                 | 75.4          |
|    n_updates            | 480           |
|    policy_gradient_loss | -1e-05        |
|    value_loss           | 90.1          |
-------------------------------------------
Model saved to /models/Test/finish
